Code,Title,Type,Touchpoint,Ready,Notes
ErrFakeListImplementation,Visual list created without proper list markup,Error,Lists,,
ErrFielLabelledBySomethingNotALabel,Field is labeled by an element that is not a proper label,Error,Forms,,
ErrFieldAriaRefDoesNotExist,aria-labelledby references non-existent element ID \,Error,Forms,,
ErrFieldLabelledUsingAriaLabel,Field labeled using aria-label instead of visible label,Error,Forms,,
ErrFieldReferenceDoesNotExist,Label for attribute references non-existent field,Error,Forms,,
ErrFormAriaLabelledByIsBlank,Form aria-labelledby references blank or empty element,Error,Forms,,
ErrFormAriaLabelledByReferenceDIsHidden,Form aria-labelledby references hidden element,Error,Forms,,
ErrFormAriaLabelledByReferenceDoesNotExist,Form aria-labelledby references non-existent element,Error,Forms,,
ErrFormEmptyHasNoChildNodes,Form element is completely empty with no child nodes,Error,Forms,,
ErrFormEmptyHasNoInteractiveElements,Form has content but no interactive elements,Error,Forms,,
ErrFormLandmarkAccessibleNameIsBlank,Form landmark has blank accessible name,Error,Forms,,
ErrFormLandmarkHasAriaLabelAndAriaLabelledByAttrs,Form landmark has both aria-label and aria-labelledby,Error,Forms,,
ErrFormUsesAriaLabelInsteadOfVisibleElement,Form uses aria-label instead of visible heading or label,Error,Forms,,
ErrFormUsesTitleAttribute,Form uses title attribute for labeling,Error,Forms,,
ErrFoundAriaLevelButNoRoleAppliedAtAll,aria-level attribute without role=\,Error,Aria,,
ErrHeaderMissingScope,Table header (th) element missing scope attribute,Error,Tables,,
ErrHeaderMissingScope,Table header (th) element missing scope attribute,Error,Semantic Structure,,
ErrHeadingEmpty,ErrHeadingEmpty,Error,Headings,,
ErrHeadingOrder,ErrHeadingOrder,Error,Headings,,
ErrHreflangAttrEmpty,hreflang attribute is empty on link,Error,Language,,
ErrHreflangNotOnLink,hreflang attribute on non-link element,Error,Language,,
ErrImageAltContainsHTML,Image\,Error,Images,,
ErrImageWithEmptyAlt,"Image alt attribute contains only whitespace characters (spaces, tabs, line breaks), providing no accessible name",Error,Images,,
ErrImageWithImgFileExtensionAlt,Alt text contains image filename with file extension (e,Error,Images,,
ErrImageWithNoAlt,"Images are missing alternative text attributes, preventing assistive technologies from conveying their content or purpose to users",Error,Images,,
ErrImageWithURLAsAlt,"Alt attribute contains a URL (starting with http://, https://, www",Error,Images,,
ErrImproperTitleAttribute,Title attribute used improperly as primary labeling mechanism,Error,Semantic Structure,,
ErrInappropriateMenuRole,Menu role used inappropriately for navigation links,Error,Navigation,,
ErrIncorrectHeadingLevel,Heading level used incorrectly based on visual appearance rather than document structure,Error,Headings,,
ErrIncorrectlyFormattedPrimaryLang,Language code incorrectly formatted,Error,Language,,
ErrInfiniteAnimation,Animation ,Error,Animation,,
ErrInsufficientContrast,Text contrast ratio {ratio}:1 does not meet WCAG requirements (required: {required}:1),Error,Colors Contrast,,
ErrInvalidGenericLinkName,Link text is generic and provides no information about destination,Error,Links,1,
ErrLabelContainsMultipleFields,Single label contains {count} form fields,Error,Forms,,
ErrLabelMismatchOfAccessibleNameAndLabelText,Accessible name doesn\,Error,Forms,,
ErrMainLandmarkHasAriaLabelAndAriaLabelledByAttrs,Main landmark has both aria-label and aria-labelledby attributes,Error,Landmarks,,
ErrMapAriaHidden,Map element hidden from assistive technologies with aria-hidden,Error,Aria,,
ErrMapMissingTitle,Map iframe missing title attribute,Error,Maps,,
ErrMissingAccessibleName,Interactive element has no accessible name,Error,Accessible Names,,
ErrMissingCloseButton,Modal or dialog missing close button,Error,Buttons,,
ErrMissingDocumentType,HTML document missing DOCTYPE declaration,Error,Semantic Structure,,
ErrMissingDocumentType,HTML document missing DOCTYPE declaration,Error,Documents,,
ErrMissingMainLandmark,Page missing main landmark for primary content,Error,Landmarks,,
ErrMissingTabindex,<{elementTag}> with event handler not keyboard accessible - missing tabindex,Error,Keyboard Navigation,,
ErrModalMissingClose,Modal dialog has no way to close it,Error,Dialogs,,
ErrModalMissingHeading,Modal has h{foundLevel} heading but should use h2 or h1,Error,Headings,,
ErrModalMissingHeading,Modal has h{foundLevel} heading but should use h2 or h1,Error,Dialogs,,
ErrModalWithoutEscape,Modal cannot be closed using the Escape key,Error,Dialogs,,
ErrMouseOnlyHandler,Interactive functionality only available through mouse events,Error,Event Handling,,
ErrMultipleH1,Page contains {count} h1 elements instead of just one,Error,Headings,,
ErrMultiplePageTitles,"{count} <title> elements found in the document head, which causes unpredictable behavior",Error,Page,,
ErrNativeVideoMissingControls,Native HTML5 video element missing controls attribute,Error,Media,,
ErrNavLandmarkHasAriaLabelAndAriaLabelledByAttrs,Navigation landmark has both aria-label and aria-labelledby,Error,Landmarks,,
ErrNavMissingAccessibleName,Navigation element lacks accessible name to distinguish it,Error,Navigation,0.5,Changed from error to warning
ErrNoAlt,Image missing alt attribute entirely,Error,Images,,
ErrNoDocumentLanguage,ErrNoDocumentLanguage,Error,Language,,
ErrNoFocusIndicator,"Interactive element has no visible focus indicator when focused, making keyboard navigation impossible to track",Error,Keyboard Navigation,,
ErrNoFocusIndicator,"Interactive element has no visible focus indicator when focused, making keyboard navigation impossible to track",Error,Focus Management,,
ErrNoH1,Page has no h1 heading,Error,Headings,,
ErrNoLabel,Form input has no associated label,Error,Forms,1,
ErrNoOutlineOffsetDefined,No outline offset defined for focus,Error,Focus Management,,
ErrNoPageTitle,Page has no <title> element in the document head,Error,Page,,
ErrNoReducedMotionSupport,Animations do not respect prefers-reduced-motion setting,Error,Animation,,
ErrNonInteractiveZeroTabindex,Non-interactive element has tabindex=\,Error,Keyboard Navigation,,
ErrOrphanLabelWithNoId,Label element exists but has no for attribute,Error,Forms,,
ErrOutlineIsNoneOnInteractiveElement,Interactive element has CSS outline:none removing the default focus indicator,Error,Focus Management,,
ErrPlaceholderAsLabel,Placeholder attribute used as the only label for form field,Error,Forms,,
ErrPositiveTabindex,Element uses a positive tabindex value (greater than 0),Error,Keyboard Navigation,,
ErrRedundantAlt,Alt text contains redundant words like \,Error,Images,,
ErrSVGNoAccessibleName,"SVG image lacks accessible name through title, aria-label, or aria-labelledby",Error,Images,,
ErrSkippedHeadingLevel,"Heading levels are not in sequential order - jumped from h{skippedFrom} to h{skippedTo}, skipping intermediate level(s)",Error,Headings,,
ErrSmallText,Text is too small ({fontSize}px) - minimum 16px recommended,Error,Fonts,0.5,Changed parent Touchpoint
ErrSvgImageNoLabel,"SVG image element lacks accessible text alternatives, making it invisible to screen reader users",Error,Images,,
ErrTabOrderViolation,Tab order diverges: <{currentElement.tag}> visually left of previous element but tabs after it,Error,Keyboard Navigation,,
ErrTableMissingCaption,Data table lacks caption element to describe its content,Error,Tables,,
ErrTableNoColumnHeaders,Data table has no column headers (th elements),Error,Tables,,
ErrTimersWithoutControls,Time-based content lacks user controls,Error,Timing,,
ErrTitleAsOnlyLabel,"Form element is using title attribute as its only accessible label, which is insufficient for accessibility",Error,Forms,,
ErrUnlabelledField,"Form input element lacks an accessible name through <label>, aria-label, aria-labelledby, or other labeling methods, leaving the field\",Error,Forms,,
ErrVideoIframeMissingTitle,Video iframe lacks title attribute,Error,Media,,
ErrVideoIframeMissingTitle,Video iframe lacks title attribute,Error,Iframes,,
InfoFieldLabelledUsingAriaLabel,Field is labeled using aria-label=\,Info,Forms,,
InfoHeadingNearLengthLimit,"Heading is {length} characters, approaching recommended limit of {limit}",Info,Headings,,
InfoNoColorSchemeSupport,Site doesn\,Info,Colors Contrast,,
InfoNoContrastSupport,Site doesn\,Info,Colors Contrast,,
WarnAnchorTargetTabindex,Anchor target element has unnecessary tabindex,Warning,Links,,
WarnButtonTextInsufficient,WarnButtonTextInsufficient,Warning,Buttons,,
WarnColorOnlyLink,Link distinguished only by color without underline or other indicator,Warning,Links,,
WarnColorOnlyLink,Link distinguished only by color without underline or other indicator,Warning,Colors Contrast,,
WarnContentOutsideLandmarks,Content exists outside of landmark regions,Warning,Landmarks,,
WarnCustomBulletStyling,List uses custom bullet styling that may not be accessible,Warning,Lists,,
WarnDeepListNesting,Lists nested more than 3 levels deep,Warning,Lists,,
WarnFastInterval,JavaScript interval running faster than once per second,Warning,Animation,,
WarnGenericAccessibleName,Element has generic accessible name that doesn\,Warning,Accessible Names,,
WarnGenericDocumentLinkText,Document link uses generic text like \,Warning,Links,,
WarnGenericDocumentLinkText,Document link uses generic text like \,Warning,Documents,,
WarnGenericLinkNoImprovement,Generic link text with no surrounding context to clarify purpose,Warning,Links,,
WarnHeadingInsideDisplayNone,Heading is hidden with display:none,Warning,Headings,,
WarnHeadingOver60CharsLong,"Heading text is {length} characters long, exceeding the recommended {limit} character limit",Warning,Headings,,
WarnHighTabindex,Very high tabindex value used (over 10),Warning,Keyboard Navigation,,
WarnItalicText,Italic text used extensively which can reduce readability,Warning,Typography,,
WarnJustifiedText,Text uses full justification affecting readability,Warning,Typography,,
WarnLinkLooksLikeButton,Link is styled to look like a button but uses anchor element,Warning,Buttons,,
WarnLongAnimation,Animation duration ({duration}) exceeds 5 seconds,Warning,Animation,,
WarnMissingAriaLabelledby,Form field could benefit from aria-labelledby for complex labeling,Warning,Forms,,
WarnMissingAriaModal,Modal dialog missing aria-modal=\,Warning,Dialogs,,
WarnMissingAriaModal,Modal dialog missing aria-modal=\,Warning,Aria,,
WarnMissingBannerLandmark,Page missing banner landmark for header content,Warning,Landmarks,,
WarnMissingContentinfoLandmark,Page missing contentinfo landmark for footer,Warning,Landmarks,,
WarnMissingDocumentMetadata,Document links missing metadata about file type or size,Warning,Language,,
WarnMissingDocumentMetadata,Document links missing metadata about file type or size,Warning,Documents,,
WarnMissingNegativeTabindex,In-page link target <{element}> should have tabindex=\,Warning,Keyboard Navigation,,
WarnMissingRequiredIndication,Required form fields not clearly indicated,Warning,Forms,,
WarnModalMissingAriaLabelledby,Modal lacks aria-labelledby pointing to its heading,Warning,Forms,,
WarnModalMissingAriaModal,Modal dialog missing aria-modal attribute,Warning,Dialogs,,
WarnModalNoFocusableElements,Modal has no focusable elements,Warning,Keyboard Navigation,,
WarnNavMissingAccessibleName,Navigation element should have accessible name,Warning,Navigation,,
WarnNegativeTabindex,Interactive element has negative tabindex,Warning,Keyboard Navigation,,
WarnNoCurrentPageIndicator,Navigation doesn\,Warning,Navigation,,
WarnNoFieldset,Related form fields not grouped with fieldset,Warning,Forms,,
WarnNoLegend,Fieldset missing legend element,Warning,Forms,,
WarnPageTitleTooLong,"Page title is {length} characters long, exceeding the recommended {limit} character limit",Warning,Page,,
WarnPageTitleTooShort,Page title \,Warning,Page,,
WarnRightAlignedText,Body text is right-aligned affecting readability,Warning,Typography,,
WarnSVGNoRole,SVG missing appropriate role attribute,Warning,Images,,
WarnSmallLineHeight,Line height less than 1.5x font size,Warning,Typography,,
WarnSvgPositiveTabindex,SVG element uses positive tabindex - verify this is intentional for interactive widget,Warning,Images,,
WarnTableMissingThead,Table missing thead element for headers,Warning,Tables,,
WarnUnlabelledForm,Form element lacks accessible name,Warning,Forms,,
WarnUnlabelledRegion,Region landmark lacks accessible name,Warning,Forms,,
WarnVideoAutoplay,Video set to autoplay which may distract users,Warning,Media,,
WarnVisualHierarchy,Visual hierarchy doesn\,Warning,Headings,,
WarnVisualHierarchy,Visual hierarchy doesn\,Warning,Semantic Structure,,
WarnZeroOutlineOffset,Outline offset is set to zero,Warning,Focus Management,,
forms_ErrNoButtonText,Button has no accessible text,Unknown,Forms,,
